"nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"mixcure - RP_normal - RP_hazard - RP.hazard",-16154.6785773453,69918.7234068902,256207.069291586,-51636.9465527245,3.1964081677947
"mixcure - RP_normal - RP_hazard - gompertz",-17668.0447462865,69918.7234068902,259851.575951065,-56216.2261329911,3.1818023409074
"mixcure - RP_normal - RP_hazard - GAM",-19022.5104067442,69918.7234068902,263085.286873565,-60279.3457207616,3.16884283051255
"mixcure - RP_normal - RP_normal - RP.hazard",-7221.39444758565,75016.2051591467,225220.483751909,-22835.9183846859,3.16225883386286
"mixcure - RP_normal - RP_normal - gompertz",-8709.72686766848,75016.2051591467,228864.990411388,-27415.1979649525,3.14765300697556
"mixcure - RP_normal - RP_normal - GAM",-10041.9124188886,75016.2051591467,232098.701333888,-31478.317552723,3.13469349658071
"mixcure - RP_normal - RP_odds - RP.hazard",-1265.26953147768,70345.1621258551,203274.748943542,-3940.79957385286,3.1145929589014
"mixcure - RP_normal - RP_odds - gompertz",-2748.42403896811,70345.1621258551,206919.255603022,-8520.07915411936,3.0999871320141
"mixcure - RP_normal - RP_odds - GAM",-4076.1535963483,70345.1621258551,210152.966525522,-12583.1987418898,3.08702762161925
"mixcure - RP_odds - RP_hazard - RP.hazard",-13312.5801479531,69918.7234068902,255816.365691825,-44049.440141737,3.30885821172013
"mixcure - RP_odds - RP_hazard - gompertz",-14761.6861251726,69918.7234068902,259460.872351305,-48628.7197220036,3.29425238483283
"mixcure - RP_odds - RP_hazard - GAM",-16058.2554883337,69918.7234068902,262694.583273805,-52691.8393097741,3.28129287443798
"mixcure - RP_odds - RP_normal - RP.hazard",-4656.41757565853,75016.2051591467,224829.780152149,-15248.4119736984,3.27470887778829
"mixcure - RP_odds - RP_normal - gompertz",-6081.92171977056,75016.2051591467,228474.286811628,-19827.691553965,3.26010305090099
"mixcure - RP_odds - RP_normal - GAM",-7357.48538483507,75016.2051591467,231707.997734128,-23890.8111417355,3.24714354050614
"mixcure - RP_odds - RP_odds - RP.hazard",1130.04593801207,70345.1621258551,202884.045343782,3646.70683713473,3.22704300282683
"mixcure - RP_odds - RP_odds - gompertz",-290.300694474778,70345.1621258551,206528.552003261,-932.572743131837,3.21243717593952
"mixcure - RP_odds - RP_odds - GAM",-1561.40872139886,70345.1621258551,209762.262925762,-4995.69233090233,3.19947766554468
"mixcure - RP_hazard - RP_hazard - RP.hazard",-13016.0087819782,69918.7234068902,255774.006205854,-43226.814315989,3.32104987327914
"mixcure - RP_hazard - RP_hazard - gompertz",-14458.4614847555,69918.7234068902,259418.512865333,-47806.0938962555,3.30644404639184
"mixcure - RP_hazard - RP_hazard - GAM",-15749.0381136174,69918.7234068902,262652.223787833,-51869.213484026,3.29348453599699
"mixcure - RP_hazard - RP_normal - RP.hazard",-4388.87212291947,75016.2051591467,224787.420666177,-14425.7861479503,3.2869005393473
"mixcure - RP_hazard - RP_normal - gompertz",-5807.87105019938,75016.2051591467,228431.927325657,-19005.0657282169,3.27229471245999
"mixcure - RP_hazard - RP_normal - GAM",-7077.57376454291,75016.2051591467,231665.638248157,-23068.1853159874,3.25933520206515
"mixcure - RP_hazard - RP_odds - RP.hazard",1379.74957851044,70345.1621258551,202841.685857811,4469.33266288275,3.23923466438584
"mixcure - RP_hazard - RP_odds - gompertz",-34.0959914844175,70345.1621258551,206486.19251729,-109.946917383757,3.22462883749853
"mixcure - RP_hazard - RP_odds - GAM",-1299.34500726373,70345.1621258551,209719.90343979,-4173.06650515425,3.21166932710368
"GAM - RP_normal - RP_hazard - RP.hazard",-16087.4260815022,69925.6781645531,256100.236307527,-51443.7012479313,3.19775836030618
"GAM - RP_normal - RP_hazard - gompertz",-17599.841741805,69925.6781645531,259744.742967006,-56022.9808281978,3.18315253341887
"GAM - RP_normal - RP_hazard - GAM",-18953.4517234704,69925.6781645531,262978.453889506,-60086.1004159684,3.17019302302402
"GAM - RP_normal - RP_normal - RP.hazard",-7157.22862437348,75017.3078004881,225113.65076785,-22642.6730798927,3.16360902637433
"GAM - RP_normal - RP_normal - gompertz",-8644.62527843531,75017.3078004881,228758.157427329,-27221.9526601593,3.14900319948703
"GAM - RP_normal - RP_normal - GAM",-9975.96824200692,75017.3078004881,231991.868349829,-31285.0722479298,3.13604368909218
"GAM - RP_normal - RP_odds - RP.hazard",-1202.70302985481,70352.1106606846,203167.915959483,-3747.55426905962,3.11594315141287
"GAM - RP_normal - RP_odds - gompertz",-2684.91717539947,70352.1106606846,206812.422618963,-8326.83384932613,3.10133732452557
"GAM - RP_normal - RP_odds - GAM",-4011.7997805861,70352.1106606846,210046.133541463,-12389.9534370966,3.08837781413072
"GAM - RP_odds - RP_hazard - RP.hazard",-13248.7715217206,69925.6781645531,255709.532707766,-43856.1948369438,3.3102084042316
"GAM - RP_odds - RP_hazard - gompertz",-14697.0010128591,69925.6781645531,259354.039367246,-48435.4744172104,3.2956025773443
"GAM - RP_odds - RP_hazard - GAM",-15992.7817110398,69925.6781645531,262587.750289746,-52498.5940049809,3.28264306694945
"GAM - RP_odds - RP_normal - RP.hazard",-4595.5113585689,75017.3078004881,224722.94716809,-15055.1666689052,3.27605907029976
"GAM - RP_odds - RP_normal - gompertz",-6020.15260799148,75017.3078004881,228367.453827569,-19634.4462491718,3.26145324341246
"GAM - RP_odds - RP_normal - GAM",-7294.93968114541,75017.3078004881,231601.164750069,-23697.5658369423,3.24849373301761
"GAM - RP_odds - RP_odds - RP.hazard",1189.4313702162,70352.1106606846,202777.212359723,3839.9521419279,3.2283931953383
"GAM - RP_odds - RP_odds - gompertz",-230.04864777193,70352.1106606846,206421.719019202,-739.32743833866,3.213787368451
"GAM - RP_odds - RP_odds - GAM",-1500.37653978232,70352.1106606846,209655.429941703,-4802.44702610915,3.20082785805615
"GAM - RP_hazard - RP_hazard - RP.hazard",-12952.5548275462,69925.6781645531,255667.173221795,-43033.5690111959,3.32240006579061
"GAM - RP_hazard - RP_hazard - gompertz",-14394.1385565894,69925.6781645531,259311.679881274,-47612.8485914623,3.30779423890331
"GAM - RP_hazard - RP_hazard - GAM",-15683.9333190549,69925.6781645531,262545.390803774,-51675.9681792328,3.29483472850846
"GAM - RP_hazard - RP_normal - RP.hazard",-4328.30158152564,75017.3078004881,224680.587682118,-14232.5408431572,3.28825073185877
"GAM - RP_hazard - RP_normal - gompertz",-5746.44500839278,75017.3078004881,228325.094341597,-18811.8204234237,3.27364490497146
"GAM - RP_hazard - RP_normal - GAM",-7015.37782493256,75017.3078004881,231558.805264098,-22874.9400111943,3.26068539457662
"GAM - RP_hazard - RP_odds - RP.hazard",1438.80755282554,70352.1106606846,202734.852873752,4662.57796767593,3.24058485689731
"GAM - RP_hazard - RP_odds - gompertz",25.8211186850655,70352.1106606846,206379.359533231,83.2983874094207,3.22597903001
"GAM - RP_hazard - RP_odds - GAM",-1238.65453541899,70352.1106606846,209613.070455731,-3979.82120036107,3.21301951961515
"RCS - RP_normal - RP_hazard - RP.hazard",-15937.4535743208,70126.6917912338,255423.508126037,-50924.8183489369,3.19529202776718
"RCS - RP_normal - RP_hazard - gompertz",-17450.3532960432,70126.6917912338,259068.014785516,-55504.0979292034,3.18068620087988
"RCS - RP_normal - RP_hazard - GAM",-18804.405599731,70126.6917912338,262301.725708016,-59567.217516974,3.16772669048503
"RCS - RP_normal - RP_normal - RP.hazard",-6998.66862196467,75235.4631276369,224436.92258636,-22123.7901808983,3.16114269383534
"RCS - RP_normal - RP_normal - gompertz",-8486.49511838242,75235.4631276369,228081.429245839,-26703.0697611648,3.14653686694804
"RCS - RP_normal - RP_normal - GAM",-9818.23195926363,75235.4631276369,231315.14016834,-30766.1893489354,3.13357735655319
"RCS - RP_normal - RP_odds - RP.hazard",-1036.99868600049,70569.2457231828,202491.187777994,-3228.67137006519,3.11347681887388
"RCS - RP_normal - RP_odds - gompertz",-2519.61148770711,70569.2457231828,206135.694437473,-7807.95095033169,3.09887099198658
"RCS - RP_normal - RP_odds - GAM",-3846.86035517099,70569.2457231828,209369.405359973,-11871.0705381022,3.08591148159173
"RCS - RP_odds - RP_hazard - RP.hazard",-13101.7809123712,70126.6917912338,255032.804526277,-43337.3119379493,3.30774207169261
"RCS - RP_odds - RP_hazard - gompertz",-14550.44309017,70126.6917912338,258677.311185756,-47916.5915182159,3.29313624480531
"RCS - RP_odds - RP_hazard - GAM",-15846.6190436317,70126.6917912338,261911.022108256,-51979.7111059864,3.28017673441046
"RCS - RP_odds - RP_normal - RP.hazard",-4440.46799170687,75235.4631276369,224046.2189866,-14536.2837699107,3.27359273776077
"RCS - RP_odds - RP_normal - gompertz",-5865.49252051276,75235.4631276369,227690.725646079,-19115.5633501773,3.25898691087347
"RCS - RP_odds - RP_normal - GAM",-7140.63070894911,75235.4631276369,230924.436568579,-23178.6829379479,3.24602740047862
"RCS - RP_odds - RP_odds - RP.hazard",1351.18842624349,70569.2457231828,202100.484178233,4358.83504092239,3.22592686279931
"RCS - RP_odds - RP_odds - gompertz",-68.6460608824074,70569.2457231828,205744.990837712,-220.444539344171,3.211321035912
