"nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"mixcure - RP_normal - RP_hazard - RP.hazard",57812.0280306384,166603.33686038,6652.739991301,62154.190866078,1.07510829464655
"mixcure - RP_normal - RP_hazard - gompertz",57443.8025251378,166603.33686038,7038.48686443442,61669.5044752061,1.07356236468188
"mixcure - RP_normal - RP_hazard - GAM",57803.106271143,166603.33686038,6662.09940924583,62142.4308679541,1.07507078558125
"mixcure - RP_normal - RP_normal - RP.hazard",72516.7580877946,177331.727813971,-9066.79324924879,77200.0855149426,1.06458269165147
"mixcure - RP_normal - RP_normal - gompertz",72166.2710914537,177331.727813971,-8681.04637611544,76715.3991240708,1.0630367616868
"mixcure - RP_normal - RP_normal - GAM",72508.2662337545,177331.727813971,-9057.43383130398,77188.3255168188,1.06454518258617
"mixcure - RP_normal - RP_odds - RP.hazard",89631.7575321366,173910.004815548,-26254.0930517668,91808.0041796478,1.02427986137314
"mixcure - RP_normal - RP_odds - gompertz",89293.3293637851,173910.004815548,-25868.3461786334,91323.317788776,1.02273393140848
"mixcure - RP_normal - RP_odds - GAM",89623.5583059877,173910.004815548,-26244.733633822,91796.2441815239,1.02424235230784
"mixcure - RP_odds - RP_hazard - RP.hazard",57986.1105730843,166603.33686038,6584.20626031148,63485.1233775047,1.09483327559088
"mixcure - RP_odds - RP_hazard - gompertz",57624.7747114894,166603.33686038,6969.9531334449,63000.4369866328,1.09328734562621
"mixcure - RP_odds - RP_hazard - GAM",57977.355521586,166603.33686038,6593.56567825632,63473.3633793808,1.09479576652558
"mixcure - RP_odds - RP_normal - RP.hazard",72425.0321298277,177331.727813971,-9135.32698023831,78531.0180263694,1.0843076725958
"mixcure - RP_odds - RP_normal - gompertz",72080.7990923685,177331.727813971,-8749.58010710496,78046.3316354976,1.08276174263113
"mixcure - RP_odds - RP_normal - GAM",72416.6915859589,177331.727813971,-9125.9675622935,78519.2580282455,1.0842701635305
"mixcure - RP_odds - RP_odds - RP.hazard",89213.127100374,173910.004815548,-26322.6267827563,93138.9366910745,1.04400484231747
"mixcure - RP_odds - RP_odds - gompertz",88880.4817171009,173910.004815548,-25936.8799096229,92654.2503002027,1.04245891235281
"mixcure - RP_odds - RP_odds - GAM",89205.0677513445,173910.004815548,-26313.2673648115,93127.1766929507,1.04396733325217
"mixcure - RP_hazard - RP_hazard - RP.hazard",57985.8624942299,166603.33686038,6584.30571455619,63483.1919652526,1.09480465124701
"mixcure - RP_hazard - RP_hazard - gompertz",57624.5168211291,166603.33686038,6970.05258768956,62998.5055743808,1.09325872128235
"mixcure - RP_hazard - RP_hazard - GAM",57977.1072053178,166603.33686038,6593.66513250103,63471.4319671288,1.09476714218172
"mixcure - RP_hazard - RP_normal - RP.hazard",72425.1628219888,177331.727813971,-9135.2275259936,78529.0866141173,1.08427904825193
"mixcure - RP_hazard - RP_normal - gompertz",72080.9208706026,177331.727813971,-8749.48065286025,78044.4002232455,1.08273311828727
"mixcure - RP_hazard - RP_normal - GAM",72416.8220624481,177331.727813971,-9125.86810804879,78517.3266159935,1.08424153918664
"mixcure - RP_hazard - RP_odds - RP.hazard",89213.7231436216,173910.004815548,-26322.5273285116,93137.0052788225,1.04397621797361
"mixcure - RP_hazard - RP_odds - gompertz",88881.0695100944,173910.004815548,-25936.7804553782,92652.3188879506,1.04243028800894
"mixcure - RP_hazard - RP_odds - GAM",89205.6635950243,173910.004815548,-26313.1679105668,93125.2452806986,1.04393870890831
"GAM - RP_normal - RP_hazard - RP.hazard",57970.8221092077,166457.343705053,6488.32585378467,62385.5508444612,1.07615432341009
"GAM - RP_normal - RP_hazard - gompertz",57603.1834770262,166457.343705053,6874.07272691809,61900.8644535893,1.07460839344543
"GAM - RP_normal - RP_hazard - GAM",57961.914556938,166457.343705053,6497.68527172951,62373.7908463373,1.07611681434479
"GAM - RP_normal - RP_normal - RP.hazard",72662.6863652568,177159.199166524,-9231.20738676512,77431.4454933259,1.06562872041501
"GAM - RP_normal - RP_normal - gompertz",72312.7559180692,177159.199166524,-8845.46051363177,76946.7591024541,1.06408279045035
"GAM - RP_normal - RP_normal - GAM",72654.2079838849,177159.199166524,-9221.84796882031,77419.685495202,1.06559121134971
"GAM - RP_normal - RP_odds - RP.hazard",89765.9612845251,173729.816647982,-26418.5071892831,92039.364158031,1.02532589013669
"GAM - RP_normal - RP_odds - gompertz",89428.0815496482,173729.816647982,-26032.7603161497,91554.6777671592,1.02377996017202
"GAM - RP_normal - RP_odds - GAM",89757.7753331621,173729.816647982,-26409.1477713383,92027.6041599071,1.02528838107139
"GAM - RP_odds - RP_hazard - RP.hazard",58141.8803172153,166457.343705053,6419.7921227951,63716.483355888,1.09587930435442
"GAM - RP_odds - RP_hazard - gompertz",57781.1098928391,166457.343705053,6805.53899592852,63231.7969650161,1.09433337438976
"GAM - RP_odds - RP_hazard - GAM",58133.1389545663,166457.343705053,6429.15154073993,63704.7233577641,1.09584179528913
"GAM - RP_odds - RP_normal - RP.hazard",72568.3967411797,177159.199166524,-9299.7411177547,78762.3780047527,1.08535370135934
"GAM - RP_odds - RP_normal - gompertz",72224.7004311018,177159.199166524,-8913.99424462135,78277.6916138809,1.08380777139468
"GAM - RP_odds - RP_normal - GAM",72560.0691906869,177159.199166524,-9290.38169980988,78750.6180066288,1.08531619229405
"GAM - RP_odds - RP_odds - RP.hazard",89345.2168245877,173729.816647982,-26487.0409202727,93370.2966694578,1.04505087108102
"GAM - RP_odds - RP_odds - gompertz",89013.1005792995,173729.816647982,-26101.2940471393,92885.610278586,1.04350494111635
"GAM - RP_odds - RP_odds - GAM",89337.1702838854,173729.816647982,-26477.6815023279,93358.5366713339,1.04501336201572
"GAM - RP_hazard - RP_hazard - RP.hazard",58141.6365439696,166457.343705053,6419.89157703987,63714.5519436359,1.09585068001056
"GAM - RP_hazard - RP_hazard - gompertz",57780.8563383392,166457.343705053,6805.63845017324,63229.8655527641,1.0943047500459
"GAM - RP_hazard - RP_hazard - GAM",58132.8949446385,166457.343705053,6429.2509949847,63702.7919455121,1.09581317094526
"GAM - RP_hazard - RP_normal - RP.hazard",72568.5310884762,177159.199166524,-9299.64166350993,78760.4465925006,1.08532507701548
"GAM - RP_hazard - RP_normal - gompertz",72224.8258924644,177159.199166524,-8913.89479037658,78275.7602016288,1.08377914705082
"GAM - RP_hazard - RP_normal - GAM",72560.2033229884,177159.199166524,-9290.2822455651,78748.6865943767,1.08528756795018
"GAM - RP_hazard - RP_odds - RP.hazard",89345.8158893052,173729.816647982,-26486.941466028,93368.3652572058,1.04502224673715
"GAM - RP_hazard - RP_odds - gompertz",89013.6914210247,173729.816647982,-26101.1945928945,92883.6788663339,1.04347631677249
"GAM - RP_hazard - RP_odds - GAM",89337.7691496941,173729.816647982,-26477.5820480832,93356.6052590819,1.04498473767186
"RCS - RP_normal - RP_hazard - RP.hazard",58061.8932871109,166377.364156854,6393.94029573102,62518.9638860947,1.07676412784103
"RCS - RP_normal - RP_hazard - gompertz",57694.5940998257,166377.364156854,6779.68716886445,62034.2774952229,1.07521819787636
"RCS - RP_normal - RP_hazard - GAM",58052.9939522099,166377.364156854,6403.29971367585,62507.2038879709,1.07672661877573
"RCS - RP_normal - RP_normal - RP.hazard",72746.2539830533,177063.915563948,-9325.59294481878,77564.8585349594,1.06623852484595
"RCS - RP_normal - RP_normal - gompertz",72396.6452989957,177063.915563948,-8939.84607168543,77080.1721440876,1.06469259488128
"RCS - RP_normal - RP_normal - GAM",72737.7833907359,177063.915563948,-9316.23352687396,77553.0985368356,1.06620101578065
"RCS - RP_normal - RP_odds - RP.hazard",89842.6457795784,173630.568348332,-26512.8927473368,92172.7771996646,1.02593569456762
"RCS - RP_normal - RP_odds - gompertz",89505.0829059484,173630.568348332,-26127.1458742034,91688.0908087927,1.02438976460296
"RCS - RP_normal - RP_odds - GAM",89834.4674977807,173630.568348332,-26503.533329392,92161.0172015407,1.02589818550232
"RCS - RP_odds - RP_hazard - RP.hazard",58231.2180631247,166377.364156854,6325.40656474147,63849.8963975215,1.09648910878536
"RCS - RP_odds - RP_hazard - gompertz",57870.7746961782,166377.364156854,6711.15343787489,63365.2100066497,1.0949431788207
"RCS - RP_odds - RP_hazard - GAM",58222.4846182872,166377.364156854,6334.76598268631,63838.1363993977,1.09645159972006
"RCS - RP_odds - RP_normal - RP.hazard",72650.4994189211,177063.915563948,-9394.12667580832,78895.7910463862,1.08596350579028
"RCS - RP_odds - RP_normal - gompertz",72307.1134252103,177063.915563948,-9008.37980267497,78411.1046555144,1.08441757582562
"RCS - RP_odds - RP_normal - GAM",72642.1793807007,177063.915563948,-9384.76725786351,78884.0310482624,1.08592599672498
"RCS - RP_odds - RP_odds - RP.hazard",89420.7001380367,173630.568348332,-26581.4264783263,93503.7097110914,1.04566067551195
"RCS - RP_odds - RP_odds - gompertz",89088.8896233929,173630.568348332,-26195.6796051929,93019.0233202195,1.04411474554729
"RCS - RP_odds - RP_odds - GAM",89412.6609978253,173630.568348332,-26572.0670603815,93491.9497129675,1.04562316644666
"RCS - RP_hazard - RP_hazard - RP.hazard",58230.9767577185,166377.364156854,6325.50601898618,63847.9649852695,1.09646048444149
"RCS - RP_hazard - RP_hazard - gompertz",57870.523627,166377.364156854,6711.25289211955,63363.2785943976,1.09491455447683
"RCS - RP_hazard - RP_hazard - GAM",58222.2430766216,166377.364156854,6334.86543693102,63836.2049871456,1.0964229753762
"RCS - RP_hazard - RP_normal - RP.hazard",72650.6358549338,177063.915563948,-9394.02722156361,78893.8596341342,1.08593488144641
"RCS - RP_hazard - RP_normal - gompertz",72307.2409914551,177063.915563948,-9008.28034843026,78409.1732432623,1.08438895148175
"RCS - RP_hazard - RP_normal - GAM",72642.3156021093,177063.915563948,-9384.6678036188,78882.0996360103,1.08589737238112
"RCS - RP_hazard - RP_odds - RP.hazard",89421.3009197521,173630.568348332,-26581.3270240816,93501.7782988393,1.04563205116809
"RCS - RP_hazard - RP_odds - gompertz",89089.4821978429,173630.568348332,-26195.5801509482,93017.0919079675,1.04408612120343
