Age	qx	lx	dx	Year
1	0.000257	99579.6	25.6	2016
2	0.000139	99554.0	13.9	2016
3	0.000114	99540.2	11.4	2016
4	0.000099	99528.8	9.9	2016
5	0.000093	99518.9	9.3	2016
6	0.000080	99509.7	8.0	2016
7	0.000077	99501.7	7.7	2016
8	0.000071	99494.0	7.0	2016
9	0.000065	99487.0	6.5	2016
10	0.000076	99480.6	7.5	2016
11	0.000086	99473.0	8.5	2016
12	0.000099	99464.5	9.9	2016
13	0.000110	99454.6	11.0	2016
14	0.000133	99443.6	13.3	2016
15	0.000179	99430.4	17.8	2016
16	0.000233	99412.6	23.2	2016
17	0.000318	99389.3	31.6	2016
18	0.000406	99357.7	40.3	2016
19	0.000449	99317.4	44.6	2016
20	0.000482	99272.7	47.9	2016
21	0.000509	99224.9	50.5	2016
22	0.000494	99174.4	49.0	2016
23	0.000525	99125.4	52.0	2016
24	0.000544	99073.4	53.9	2016
25	0.000600	99019.5	59.4	2016
26	0.000598	98960.0	59.2	2016
27	0.000604	98900.8	59.8	2016
28	0.000695	98841.1	68.7	2016
29	0.000731	98772.4	72.2	2016
30	0.000749	98700.2	74.0	2016
31	0.000829	98626.2	81.7	2016
32	0.000858	98544.5	84.5	2016
33	0.000914	98460.0	90.0	2016
34	0.000981	98369.9	96.5	2016
35	0.001047	98273.5	102.9	2016
36	0.001163	98170.5	114.2	2016
37	0.001249	98056.3	122.4	2016
38	0.001233	97933.9	120.8	2016
39	0.001398	97813.1	136.8	2016
40	0.001531	97676.3	149.5	2016
41	0.001730	97526.8	168.7	2016
42	0.001846	97358.1	179.7	2016
43	0.002069	97178.4	201.1	2016
44	0.002137	96977.3	207.2	2016
45	0.002296	96770.1	222.2	2016
46	0.002454	96547.9	236.9	2016
47	0.002728	96311.0	262.7	2016
48	0.002871	96048.3	275.8	2016
49	0.003157	95772.5	302.4	2016
50	0.003378	95470.2	322.5	2016
51	0.003547	95147.7	337.5	2016
52	0.003917	94810.2	371.4	2016
53	0.004079	94438.8	385.2	2016
54	0.004425	94053.6	416.2	2016
55	0.004886	93637.4	457.5	2016
56	0.005380	93179.9	501.3	2016
57	0.005873	92678.6	544.3	2016
58	0.006433	92134.3	592.7	2016
59	0.007039	91541.6	644.3	2016
60	0.007748	90897.3	704.3	2016
61	0.008538	90193.0	770.0	2016
62	0.009278	89423.0	829.7	2016
63	0.010398	88593.3	921.2	2016
64	0.011120	87672.1	974.9	2016
65	0.012208	86697.1	1058.4	2016
66	0.013562	85638.7	1161.5	2016
67	0.014495	84477.3	1224.5	2016
68	0.015901	83252.8	1323.8	2016
69	0.017215	81929.0	1410.4	2016
70	0.018705	80518.6	1506.1	2016
71	0.020669	79012.5	1633.1	2016
72	0.023143	77379.4	1790.8	2016
73	0.025799	75588.6	1950.1	2016
74	0.028607	73638.5	2106.6	2016
75	0.032346	71532.0	2313.8	2016
76	0.035824	69218.2	2479.7	2016
77	0.039819	66738.5	2657.5	2016
78	0.043769	64081.1	2804.8	2016
79	0.048684	61276.3	2983.2	2016
80	0.054468	58293.1	3175.1	2016
81	0.060990	55118.0	3361.6	2016
82	0.067772	51756.4	3507.7	2016
83	0.076899	48248.7	3710.3	2016
84	0.086375	44538.4	3847.0	2016
85	0.096074	40691.4	3909.4	2016
86	0.108402	36782.0	3987.2	2016
87	0.120523	32794.8	3952.5	2016
88	0.135298	28842.2	3902.3	2016
89	0.151166	24939.9	3770.1	2016
90	0.162534	21169.8	3440.8	2016
91	0.180204	17729.0	3194.8	2016
92	0.200063	14534.2	2907.8	2016
93	0.219906	11626.4	2556.7	2016
94	0.240693	9069.7	2183.0	2016
95	0.266577	6886.7	1835.8	2016
96	0.289831	5050.9	1463.9	2016
97	0.314038	3587.0	1126.4	2016
98	0.327708	2460.5	806.3	2016
99	0.374448	1654.2	619.4	2016
100	0.402158	1034.8	416.1	2016
