"nivos-nivpfs-ipios-ipipfs","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"mixcure - GAM - FP2 - FP2","53733.0521529535","173410.598214917",10641.0506887323,55690.9551054516,1.03643759053412
"mixcure - GAM - FP2 - RP_hazard","74788.4946766651","173410.598214917",-12167.7698232849,84349.9687332583,1.12784685796833
"mixcure - GAM - GAM - FP2","49199.116139688","178372.440564418",15665.9488918219,52074.6494764344,1.058446849504
"mixcure - GAM - GAM - gompertz","69133.9041363527","178372.440564418",-5877.21037596364,79143.3746968458,1.14478381751378
"mixcure - GAM - GAM - RP_hazard","70211.9699282159","178372.440564418",-7142.87162019532,80733.6631042411,1.14985611693822
"mixcure - GAM - RCS - RP_hazard","57387.9139068644","167020.221553553",7653.90822305244,66430.1432208484,1.15756330381095
"mixcure - gompertz - FP2 - FP2","53760.8001826038","173410.598214917",10633.7643459476,55832.4566749944,1.03853470345222
"mixcure - gompertz - FP2 - RP_hazard","74774.920243628","173410.598214917",-12175.0561660697,84491.4703028012,1.12994397088643
"mixcure - gompertz - GAM - FP2","49235.2536963433","178372.440564418",15658.6625490372,52216.1510459773,1.0605439624221
"mixcure - gompertz - GAM - gompertz","69130.8697900596","178372.440564418",-5884.49671874839,79284.8762663886,1.14688093043188
"mixcure - gompertz - GAM - RP_hazard","70206.9863408187","178372.440564418",-7150.15796298008,80875.164673784,1.15195322985631
"mixcure - gompertz - RCS - RP_hazard","57406.1542758906","167020.221553553",7646.62188026775,66571.6447903912,1.15966041672905
"mixcure - RCS - FP2 - FP2","53789.9890094689","173410.598214917",10626.0677745004,55981.9249297901,1.04074988600454
"mixcure - RCS - FP2 - RP_hazard","74760.6361707307","173410.598214917",-12182.7527375169,84640.9385575969,1.13215915343875
"mixcure - RCS - GAM - FP2","49273.2709461026","178372.440564418",15650.9659775899,52365.619300773,1.06275914497442
"mixcure - RCS - GAM - gompertz","69127.6766352412","178372.440564418",-5892.19329019559,79434.3445211843,1.1490961129842
"mixcure - RCS - GAM - RP_hazard","70201.7418406813","178372.440564418",-7157.85453442733,81024.6329285798,1.15416841240863
"mixcure - RCS - RCS - RP_hazard","57425.3500860632","167020.221553553",7638.92530882049,66721.113045187,1.16187559928137
"gompertz - GAM - FP2 - FP2","48409.1370346135","171475.201521287",16040.4348615124,49805.043571332,1.02883560051319
"gompertz - GAM - FP2 - RP_hazard","70041.8805246628","171475.201521287",-6768.38565050486,78464.0571991387,1.1202448679474
"gompertz - GAM - GAM - FP2","43953.9076824677","176605.670898596",21065.3330646019,46188.7379423148,1.05084485948307
"gompertz - GAM - GAM - gompertz","64420.1845225025","176605.670898596",-477.826203183606,73257.4631627262,1.13718182749285
"gompertz - GAM - GAM - RP_hazard","65526.3568818268","176605.670898596",-1743.48744741529,74847.7515701216,1.14225412691729
"gompertz - GAM - RCS - RP_hazard","52648.9291080483","165103.282415319",13053.2923958325,60544.2316867288,1.14996131379002
"gompertz - gompertz - FP2 - FP2","48447.91952972","171475.201521287",16033.1485187276,49946.5451408749,1.03093271343129
"gompertz - gompertz - FP2 - RP_hazard","70037.0832676726","171475.201521287",-6775.67199328968,78605.5587686817,1.1223419808655
"gompertz - gompertz - GAM - FP2","44000.752867895","176605.670898596",21058.0467218171,46330.2395118577,1.05294197240117
"gompertz - gompertz - GAM - gompertz","64425.806647311","176605.670898596",-485.112545968412,73398.9647322691,1.13927894041095
"gompertz - gompertz - GAM - RP_hazard","65529.9269396099","176605.670898596",-1750.77379020011,74989.2531396645,1.14435123983538
"gompertz - gompertz - RCS - RP_hazard","52675.9162985116","165103.282415319",13046.0060530477,60685.7332562717,1.15205842670812
"gompertz - RCS - FP2 - FP2","48488.7145300496","171475.201521287",16025.4519472804,50096.0133956706,1.03314789598361
"gompertz - RCS - FP2 - RP_hazard","70032.0353516939","171475.201521287",-6783.36856473687,78755.0270234774,1.12455716341782
"gompertz - RCS - GAM - FP2","44050.033256612","176605.670898596",21050.35015037,46479.7077666534,1.05515715495349
"gompertz - RCS - GAM - gompertz","64431.72286874","176605.670898596",-492.809117415556,73548.4329870648,1.14149412296327
