"nivos-nivpfs-ipios-ipipfs","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"gompertz - RP_normal - RP_odds - gompertz","29174.4955658102","92856.1411186092",124686.395640272,104453.984395204,3.58031843805432
"gompertz - RP_normal - RP_hazard - gompertz","17043.4809460954","83190.1663618672",170785.671915189,61988.8868212554,3.63710248025694
"gompertz - RP_normal - RP_hazard - FP2","23201.7826203719","83190.1663618672",151534.880515964,86177.2788850088,3.7142524906402
"gompertz - RP_normal - RP_normal - gompertz","28719.1282104597","87299.180135027",125903.616735618,102487.323237369,3.56860843707792
"gompertz - RP_normal - RP_normal - FP2","34746.0527422864","87299.180135027",106652.825336393,126675.715301122,3.64575844746118
"gompertz - GAM - RP_odds - gompertz","30679.6478320629","92856.1411186092",124177.529867115,114336.213068135,3.72677723336328
"gompertz - GAM - RP_hazard - gompertz","18995.6261468071","83190.1663618672",170276.806142031,71871.1154941862,3.78356127556589
"gompertz - GAM - RP_hazard - FP2","24881.2978861027","83190.1663618672",151026.014742806,96059.5075579395,3.86071128594915
"gompertz - GAM - RP_normal - gompertz","30246.9766712954","87299.180135027",125394.75096246,112369.5519103,3.71506723238688
"gompertz - GAM - RP_normal - FP2","36010.0530196156","87299.180135027",106143.959563235,136557.943974053,3.79221724277013
"gompertz - RCS - RP_odds - gompertz","30787.8720345496","92856.1411186092",124139.33207641,115078.018319057,3.73777109992918
"gompertz - RCS - RP_hazard - gompertz","19136.0826303118","83190.1663618672",170238.608351326,72612.9207451083,3.79455514213179
"gompertz - RCS - RP_hazard - FP2","25002.2429383549","83190.1663618672",150987.816952101,96801.3128088617,3.87170515251505
"gompertz - RCS - RP_normal - gompertz","30356.8176037189","87299.180135027",125356.553171756,113111.357161222,3.72606109895278
"gompertz - RCS - RP_normal - FP2","36101.0065646724","87299.180135027",106105.761772531,137299.749224975,3.80321110933603
"GAM - RP_normal - RP_odds - gompertz","18751.0074399818","71166.8819732044",175668.27013265,72796.2514492879,3.88225814971778
"GAM - RP_normal - RP_hazard - gompertz","7700.13429598521","64774.9483635349",221767.546407566,30331.153875339,3.93904219192039
"GAM - RP_normal - RP_hazard - FP2","13574.9344635001","64774.9483635349",202516.755008341,54519.5459390923,4.01619220230365
"GAM - RP_normal - RP_normal - gompertz","18299.6277450998","66797.3861214025",176885.491227996,70829.5902914525,3.87054814874138
"GAM - RP_normal - RP_normal - FP2","24069.2116076765","66797.3861214025",157634.699828771,95017.9823552058,3.94769815912463
"GAM - GAM - RP_odds - gompertz","20522.2856930372","71166.8819732044",175159.404359492,82678.4801222185,4.02871694502673
"GAM - GAM - RP_hazard - gompertz","9842.95014833444","64774.9483635349",221258.680634408,40213.3825482696,4.08550098722934
"GAM - GAM - RP_hazard - FP2","15471.336571084","64774.9483635349",202007.889235183,64401.7746120229,4.1626509976126
"GAM - GAM - RP_normal - gompertz","20092.5266220729","66797.3861214025",176376.625454838,80711.8189643831,4.01700694405033
"GAM - GAM - RP_normal - FP2","25621.9319863982","66797.3861214025",157125.834055613,104900.211028136,4.09415695443358
"GAM - RCS - RP_odds - gompertz","20650.063646574","71166.8819732044",175121.206568788,83420.2853731407,4.03971081159263
"GAM - RCS - RP_hazard - gompertz","9997.61729500242","64774.9483635349",221220.482843704,40955.1877991917,4.09649485379524
"GAM - RCS - RP_hazard - FP2","15608.3188634612","64774.9483635349",201969.691444479,65143.5798629451,4.1736448641785
"GAM - RCS - RP_normal - gompertz","20221.8490126977","66797.3861214025",176338.427664133,81453.6242153053,4.02800081061623
"GAM - RCS - RP_normal - FP2","25734.0158463016","66797.3861214025",157087.636264908,105642.016279059,4.10515082099948
"FP2 - RP_normal - RP_odds - gompertz","18967.914328206","71497.3665229527",174605.401276219,73545.3453519204,3.87735541606468
"FP2 - RP_normal - RP_hazard - gompertz","7900.13879977199","65065.7523414598",220704.677551136,31080.2477779714,3.9341394582673
"FP2 - RP_normal - RP_hazard - FP2","13778.2726162412","65065.7523414598",201453.886151911,55268.6398417248,4.01128946865055
"FP2 - RP_normal - RP_normal - gompertz","18516.6192208683","67113.172477117",175822.622371565,71578.684194085,3.86564541508828
"FP2 - RP_normal - RP_normal - FP2","24289.1314216195","67113.172477117",156571.83097234,95767.0762578383,3.94279542547154
"FP2 - GAM - RP_odds - gompertz","20733.4557815906","71497.3665229527",174096.535503061,83427.574024851,4.02381421137363
"FP2 - GAM - RP_hazard - gompertz","10038.3507283527","65065.7523414598",220195.811777978,40962.4764509021,4.08059825357625
"FP2 - GAM - RP_hazard - FP2","15669.7482335333","65065.7523414598",200945.020378753,65150.8685146554,4.1577482639595
"FP2 - GAM - RP_normal - gompertz","20303.7878866437","67113.172477117",175313.756598407,81460.9128670156,4.01210421039723
"FP2 - GAM - RP_normal - FP2","25835.8368608847","67113.172477117",156062.965199182,105649.304930769,4.08925422078049
"FP2 - RCS - RP_odds - gompertz","20860.8136124175","71497.3665229527",174058.337712357,84169.3792757732,4.03480807793953
"FP2 - RCS - RP_hazard - gompertz","10192.6781744744","65065.7523414598",220157.613987273,41704.2817018242,4.09159212014215
"FP2 - RCS - RP_hazard - FP2","15806.3683726277","65065.7523414598",200906.822588048,65892.6737655776,4.16874213052541
"FP2 - RCS - RP_normal - gompertz","20432.6905646777","67113.172477117",175275.558807703,82202.7181179377,4.02309807696313
"FP2 - RCS - RP_normal - FP2","25947.4812048618","67113.172477117",156024.767408478,106391.110181691,4.10024808734639
