"nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"gompertz - RP_normal - RP_odds - gompertz",72531.6659828912,186618.620225692,-9660.43622102858,82127.8674807215,1.1323036134327
"gompertz - RP_normal - RP_odds - RP_hazard",76464.995555829,186618.620225692,-14348.3442603265,88018.1685733781,1.15109100489143
"gompertz - RP_normal - RP_odds - FP2",73801.486375914,186618.620225692,-11157.0463506095,84008.3404353214,1.13830147007362
"gompertz - RP_normal - RP_hazard - gompertz",59726.1196512357,174572.859161027,4873.26699555255,68102.3575573288,1.14024413363877
"gompertz - RP_normal - RP_hazard - RP_hazard",63840.0742755992,174572.859161027,185.358956254611,73992.6586499854,1.1590315250975
"gompertz - RP_normal - RP_hazard - FP2",61054.1500881959,174572.859161027,3376.65686597164,69982.8305119287,1.14624199027969
"gompertz - RP_normal - RP_normal - gompertz",77460.6378706775,181951.371346566,-14948.4110507848,86022.1830697387,1.11052768779615
"gompertz - RP_normal - RP_normal - RP_hazard",81387.8127112574,181951.371346566,-19636.3190900827,91912.4841623953,1.12931507925488
"gompertz - RP_normal - RP_normal - FP2",78728.7460303086,181951.371346566,-16445.0211803657,87902.6560243386,1.11652554443708
"gompertz - GAM - RP_odds - gompertz",72436.6124419799,186618.620225692,-9735.79766324912,83591.3948870227,1.15399370662146
"gompertz - GAM - RP_odds - RP_hazard",76298.7194508491,186618.620225692,-14423.705702547,89481.6959796794,1.17278109808019
"gompertz - GAM - RP_odds - FP2",73683.1805924861,186618.620225692,-11232.40779283,85471.8678416226,1.15999156326239
"gompertz - GAM - RP_hazard - gompertz",59870.7597706008,174572.859161027,4797.90555333205,69565.8849636299,1.16193422682753
"gompertz - GAM - RP_hazard - RP_hazard",63906.8387396906,174572.859161027,109.997514034068,75456.1860562866,1.18072161828626
"gompertz - GAM - RP_hazard - FP2",61173.3840773111,174572.859161027,3301.29542375114,71446.3579182299,1.16793208346845
"gompertz - GAM - RP_normal - gompertz",77269.3309938448,181951.371346566,-15023.7724930054,87485.7104760399,1.13221778098491
"gompertz - GAM - RP_normal - RP_hazard",81125.6228939913,181951.371346566,-19711.6805323033,93376.0115686965,1.15100517244364
"gompertz - GAM - RP_normal - FP2",78514.281895692,181951.371346566,-16520.3826225862,89366.1834306398,1.13821563762584
"gompertz - RCS - RP_odds - gompertz",72429.6449888319,186618.620225692,-9741.43541223733,83700.8805856908,1.15561633083521
"gompertz - RCS - RP_odds - RP_hazard",76286.527347981,186618.620225692,-14429.3434515352,89591.1816783475,1.17440372229394
"gompertz - RCS - RP_odds - FP2",73674.5078210825,186618.620225692,-11238.0455418182,85581.3535402908,1.16161418747613
"gompertz - RCS - RP_hazard - gompertz",59881.3634245244,174572.859161027,4792.26780434379,69675.3706622981,1.16355685104128
"gompertz - RCS - RP_hazard - RP_hazard",63911.7348727261,174572.859161027,104.359765045854,75565.6717549547,1.18234424250001
"gompertz - RCS - RP_hazard - FP2",61182.1261090948,174572.859161027,3295.65767476289,71555.8436168981,1.1695547076822
