"","Model","LnL","Params","AIC","Additional inform"
"1","exp",-218.507182058991,1,439.014364117982,"Param;1=0.36"
"2","weibull",-213.360479440749,2,430.720958881498,"Param;shape=-0.1;scale=-0.4"
"3","gamma",-218.677474519163,2,441.354949038326,"Param;shape=0.01;rate=0.37"
"4","lnorm",-164.52492301815,2,333.0498460363,"Param;meanlog=-0.93;sdlog=0"
"5","gompertz",-188.021607476182,2,380.043214952364,"Param;shape=-0.77;rate=0.82"
"6","llogis",-161.208548256759,2,326.417096513518,"Param;shape=0.62;scale=-1.07"
"7","gengamma",-136.528012269795,3,279.05602453959,"Param;mu=-1.24;sigma=-0.08;Q=-0.67"
"8","FP1",-226.845127691066,2,457.690255382132,"Param;0.5"
"9","FP2",-143.169404294737,3,292.338808589474,"Param;-0.5,-0.5"
"10","RCS",-93.8069587240218,6,199.613917448044,"Param;(Intercept)=-0.56;s(Time).1=0.84;s(Time).2=5.14;s(Time).3=-0.84;s(Time).4=3.87;s(Time).5=1.41;k= 4"
"11","RP-hazard",-115.898563705927,4,239.797127411854,"Param;gamma0=15.82;gamma1=7.64;gamma2=1.26;gamma3=-0.97;knot= 2;scale= hazard"
"12","RP-odds",-117.502270530706,3,241.004541061412,"Param;gamma0=9.73;gamma1=5.4;gamma2=0.22;knot= 1;scale= odds"
"13","RP-normal",-126.571042746415,4,261.14208549283,"Param;gamma0=-0.61;gamma1=0.64;gamma2=-0.74;gamma3=0.8;knot= 2;scale= normal"
"14","GAM",-160.939038643132,3.9880159913655,329.854109268995,"Param;(Intercept)=-0.6;s(Time).1=1.8;s(Time).2=0.76;s(Time).3=0.16;k= 2;Smooth_Param;s(Time)=0.07"
"15","param-mix",-79.5607748480998,6,171.1215496962,"llogis-gengamma:Param;p1=0.34;shape1=0.34;scale1=1.95;mu2=1.06;sigma2=-5.97;Q2=28.76"
"16","mix-cure",15.1659615052373,7,-16.3319230104746,"mix-RP:Param;coefs-1=-5.5139;coefs-spline-1=-9.1874;coefs-spline-2=8.629;coefs-spline-3=9.0771;coefs-spline-4=9.557;coefs-spline-5=10.0923;coefs-spline-6=10.0062;cure_p:0.004"
