"","Model","LnL","Params","AIC","Additional inform"
"1","exp",-83.9069584798812,1,169.813916959762,"Param;1=-0.97"
"2","weibull",-83.934488527355,2,171.86897705471,"Param;shape=0.02;scale=0.97"
"3","gamma",-83.8605557733938,2,171.721111546788,"Param;shape=0.07;rate=-0.88"
"4","lnorm",-79.052023446719,2,162.104046893438,"Param;meanlog=0.53;sdlog=0.28"
"5","gompertz",-83.185248259525,2,170.37049651905,"Param;shape=-0.12;rate=-0.83"
"6","llogis",-80.3056609108683,2,164.611321821737,"Param;shape=0.26;scale=0.53"
"7","gengamma",-79.0578423765735,3,164.115684753147,"Param;mu=0.52;sigma=0.28;Q=-0.01"
"8","FP1",-81.5789508131742,2,167.157901626348,"Param;-2"
"9","FP2",-81.4129286497989,3,168.825857299598,"Param;-0.5,0"
"10","RCS",-77.4085199864831,7,168.817039972966,"Param;(Intercept)=-1.03;s(Time).1=0.71;s(Time).2=0.26;s(Time).3=0.52;s(Time).4=0.24;s(Time).5=0.79;s(Time).6=0.3;k= 5"
"11","RP-hazard",-78.4648825365197,5,166.929765073039,"Param;gamma0=0.75;gamma1=2.13;gamma2=0.31;gamma3=-0.6;gamma4=0.56;knot= 3;scale= hazard"
"12","RP-odds",-78.429565937584,5,166.859131875168,"Param;gamma0=0.78;gamma1=2.15;gamma2=0.35;gamma3=-0.67;gamma4=0.51;knot= 3;scale= odds"
"13","RP-normal",-78.6470033539205,5,167.294006707841,"Param;gamma0=-0.24;gamma1=0.83;gamma2=0.1;gamma3=-0.28;gamma4=0.27;knot= 3;scale= normal"
"14","GAM",-82.3018899733381,2.57719463730881,169.758169221294,"Param;(Intercept)=-1.01;s(Time).1=0.18;s(Time).2=-0.21;k= 1;Smooth_Param;s(Time)=16.15"
"15","param-mix",-90.5754756426959,6,193.150951285392,"llogis-gengamma:Param;p1=2.96;shape1=0.33;scale1=3.11;mu2=0.91;sigma2=-4.74;Q2=-17.54"
"16","mix-cure",-390.978896301076,3,787.957792602152,"mix-lnorm:Param;coefs-1=-3.2555;coefs-2=0.4834;coefs-3=0.2557;cure_p:0.0371"
