"","Model","LnL","Params","AIC","Additional inform"
"1","exp",-94.7229378992226,1,191.445875798445,"Param;1=-1.62"
"2","weibull",-88.9528408645223,2,181.905681729045,"Param;shape=-0.26;scale=1.83"
"3","gamma",-89.9307667579844,2,183.861533515969,"Param;shape=-0.29;rate=-2.13"
"4","lnorm",-84.5770049251478,2,173.154009850296,"Param;meanlog=1.43;sdlog=0.67"
"5","gompertz",-82.8380671329962,2,169.676134265992,"Param;shape=-0.55;rate=-0.98"
"6","llogis",-86.3837999485978,2,176.767599897196,"Param;shape=-0.11;scale=1.37"
"7","gengamma",-83.5371957740789,3,173.074391548158,"Param;mu=1.05;sigma=0.81;Q=-0.62"
"8","FP1",-83.1287836829554,2,170.257567365911,"Param;1"
"9","FP2",-81.249680352,3,168.499360704,"Param;0.5,0.5"
"10","RCS",-82.0174389208787,3,170.034877841757,"Param;(Intercept)=-1.83;s(Time).1=1.05;s(Time).2=-0.62;k= 1"
"11","RP-hazard",-82.4743396699765,3,170.948679339953,"Param;gamma0=0.06;gamma1=1.66;gamma2=0.08;knot= 1;scale= hazard"
"12","RP-odds",-82.4125386289062,3,170.825077257812,"Param;gamma0=0;gamma1=1.63;gamma2=0.07;knot= 1;scale= odds"
"13","RP-normal",-83.4049671727843,3,172.809934345569,"Param;gamma0=-0.44;gamma1=0.66;gamma2=0.02;knot= 1;scale= normal"
"14","GAM",-81.5028552345108,3.28645191461516,169.578614298252,"Param;(Intercept)=-1.82;s(Time).1=0.55;s(Time).2=-0.13;s(Time).3=-1.05;k= 2;Smooth_Param;s(Time)=15.16"
"15","param-mix",-81.0800037985246,4,170.160007597049,"exp-llogis:Param;p1=-0.11;rate1=-11;shape2=0.29;scale2=2.54"
"16","mix-cure",-325.817525776349,3,657.635051552698,"mix-RP:Param;coefs-1=0.2752;coefs-spline-1=-4.852;coefs-spline-2=7.288;cure_p:0.5684"
