"","Model","LnL","Params","AIC","Additional inform"
"1","exp",-138.285470786214,1,278.570941572428,"Param;1=-0.82"
"2","weibull",-111.403355163102,2,226.806710326204,"Param;shape=-0.38;scale=0.91"
"3","gamma",-116.480680525806,2,236.961361051612,"Param;shape=-0.45;rate=-1.48"
"4","lnorm",-99.4947371437767,2,202.989474287553,"Param;meanlog=0.24;sdlog=0.6"
"5","gompertz",-92.9146735048895,2,189.829347009779,"Param;shape=-0.98;rate=0.06"
"6","llogis",-102.451471535115,2,208.90294307023,"Param;shape=-0.1;scale=0.18"
"7","gengamma",-90.3489877180199,3,186.69797543604,"Param;mu=-0.51;sigma=0.63;Q=-0.99"
"8","FP1",-99.4441509310748,2,202.88830186215,"Param;0.5"
"9","FP2",-103.139567190053,3,212.279134380106,"Param;-0.5,0"
"10","RCS",-78.4875431195168,6,168.975086239034,"Param;(Intercept)=-1.41;s(Time).1=1.86;s(Time).2=1.94;s(Time).3=0.72;s(Time).4=0.59;s(Time).5=-0.84;k= 4"
"11","RP-hazard",-72.7336620098238,7,159.467324019648,"Param;gamma0=-2.8;gamma1=0.68;gamma2=-4.46;gamma3=7.31;gamma4=-3.03;gamma5=0.11;gamma6=0.09;knot= 5;scale= hazard"
"12","RP-odds",-73.0546490882639,7,160.109298176528,"Param;gamma0=-3.01;gamma1=0.64;gamma2=-4.57;gamma3=7.45;gamma4=-3.04;gamma5=0.04;gamma6=0.15;knot= 5;scale= odds"
"13","RP-normal",-74.3919755951114,7,162.783951190223,"Param;gamma0=-1.99;gamma1=0.18;gamma2=-2;gamma3=3.14;gamma4=-1.17;gamma5=-0.08;gamma6=0.13;knot= 5;scale= normal"
"14","GAM",-78.5372509579622,5.90130773990131,168.877117395727,"Param;(Intercept)=-1.41;s(Time).1=1.86;s(Time).2=1.88;s(Time).3=0.77;s(Time).4=0.51;s(Time).5=-0.89;k= 4;Smooth_Param;s(Time)=0.33"
"15","param-mix",-69.3904909193232,7,152.780981838646,"gengamma-gengamma:Param;p1=1.85;mu1=2.65;sigma1=0.73;Q1=-0.59;mu2=1.06;sigma2=-3.61;Q2=4.12"
"16","mix-cure",-265.802866951206,7,545.605733902412,"mix-RP:Param;coefs-1=-0.9561;coefs-spline-1=-5.9432;coefs-spline-2=5.3282;coefs-spline-3=5.5042;coefs-spline-4=5.5478;coefs-spline-5=8.1475;coefs-spline-6=5.5898;cure_p:0.2777"
