Age	qx	lx	dx	Year
1	0.006199296	1.00E+05	619.9296355	2015
1-4	0.000984577	99380.07036	97.84730465	2015
5-9	0.000572835	99282.22306	56.87228385	2015
10-14	0.000728953	99225.35078	72.33063039	2015
15-19	0.002385811	99153.02015	236.560385	2015
20-24	0.004412173	98916.45976	436.436509	2015
25-29	0.005308838	98480.02325	522.8145194	2015
30-34	0.006471653	97957.20873	633.9450204	2015
35-39	0.007772065	97323.26371	756.4027109	2015
40-44	0.010321596	96566.861	996.7241532	2015
45-49	0.015323561	95570.13685	1464.47479	2015
50-54	0.024585484	94105.66206	2313.633228	2015
55-59	0.036342662	91792.02883	3335.966723	2015
60-64	0.051012481	88456.06211	4512.363185	2015
65-69	0.072282554	83943.69892	6067.664983	2015
70-74	0.109623486	77876.03394	8537.042332	2015
75-79	0.164202056	69338.99161	11385.60497	2015
80-84	0.262141613	57953.38663	15191.99422	2015
85+	1	42761.39241	42761.39241	2015
